parada_id,nombre,latitud,longitud
1,Av Gran Via-Miguel Hernández, 41.35295315819178, 2.1202783477850047
2,Amadeu Torner, 41.356559130901175, 2.1241569960856697
3,Pl. Europa, 41.35750380832634, 2.126352780743144
4,Av Gran Via-Física, 41.371394453569444, 2.1321818322279587
5,Av Gran Via-Bloc I. Cerdà, 41.37588724137737, 2.138753005495791
6,Ildefons Cerdà-Gran Via, 41.36122977122258, 2.1301722960858855
7,Pl Ildefons Cerdà-Gran Via, 41.36616449091332, 2.137192789586705
8,La Campana, 41.368031974438466, 2.140591511442294
9,Gran Via-Mandoni, 41.37226777486793, 2.1458109772499343
10,Gran Via-Santa Doreta, 41.3738845936741, 2.1482993270884463
11,Pl. España-FGC, 41.37497763150812, 2.1497559221158684
12,Pl España-Gran Via, 41.37568354208587, 2.150211108315383
13,Gran Via-Entença, 41.37741412897826, 2.1524566923159916
14,Gran Via-Viladomat, 41.37871203893015, 2.1540346702623654
15,Gran Via-Urgell, 41.38244623197668, 2.15907206167254
16,Gran Via-Muntaner, 41.38461810820108, 2.162002104664656
17,Pl. Universitat, 41.38587213134915, 2.1635714380905293
18,Gran Via-Balmes, 41.38717035752203, 2.165499144854377
19,Gran Via-Pau Claris, 41.38851216880648, 2.1671323024333877
20,Gran Via-Llúria V17, 41.39321169029649, 2.1733153049906013
21,Metro Tetuan, 41.3942474916236, 2.1746960356936786
22,Gran Via-Roger de Flor, 41.39910756981289, 2.1811141577765873
23,Monumental, 41.401725259945664, 2.184619089732668
24,Glòries, 41.404421493508444, 2.1884514958022847
25,Gran Via-Bilbao, 41.406708945800865, 2.191410204541572
26,Gran Via-Bac de Roda V27, 41.408450086842066, 2.1938833815842296
27,Gran Via-Selva de Mar, 41.41064636161151, 2.1967207074307415
28,Gran Via-St. Martí de Provençals, 41.41295635288623, 2.199922182025186
29,Gran Via-Maresme, 41.414526644898146, 2.201894654529546
30,Metro Besòs,41.42035039395905, 2.2096610783298645

