parada_id,nombre,latitud,longitud
1,Ciutat Vella,41.3809,2.1734
2,Eixample,41.3891,2.1634
3,Sants-Montjuïc,41.3636,2.1499
4,Les Corts,41.3867,2.1228
5,Sarrià-Sant Gervasi,41.4013,2.1332
6,Gràcia,41.4050,2.1588
7,Horta-Guinardó,41.4225,2.1625
8,Nou Barris,41.4416,2.1704
9,Sant Andreu,41.4353,2.1905
10,Sant Martí,41.4114,2.2093

